,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,3,3,2,63.4,57.0,6.1,6.18,3.89,2855.1132807538665
1,0.38,2,5,4,60.3,61.0,4.68,4.71,2.83,852.4346323280681
2,0.52,5,3,4,61.8,56.0,5.19,5.16,3.2,1458.0189646256486
3,1.1,5,4,5,61.3,56.0,6.65,6.69,4.09,7202.628626680597
4,2.28,5,4,2,61.6,57.0,8.44,8.37,5.18,18300.182882603585
5,2.01,3,1,4,60.8,58.0,8.08,8.16,4.94,13058.979837518074
6,1.06,5,4,2,62.2,57.0,6.51,6.49,4.04,4327.244049577092
7,0.7,4,6,3,60.1,58.0,5.81,5.83,3.5,2635.9820818321145
8,0.73,4,2,4,59.7,59.0,5.94,5.81,3.51,2415.912438827633
9,0.73,5,3,8,61.6,55.0,5.8,5.82,3.58,3851.2671128890597
10,1.0,2,7,4,64.1,58.0,6.24,6.33,4.03,5784.6468903297755
11,0.33,5,4,6,60.1,57.0,4.48,4.51,2.7,814.8264415308181
12,0.54,5,1,6,61.6,57.0,5.25,5.23,3.23,1402.8108106263585
13,0.33,5,7,4,61.9,53.0,4.49,4.46,2.77,783.1744942716621
14,0.51,1,7,4,64.4,54.0,5.06,5.03,3.25,1523.734870249622
15,0.51,5,6,3,62.4,55.0,5.09,5.14,3.19,1483.5118739966024
16,0.3,2,2,3,63.2,55.0,4.25,4.29,2.7,369.1508022041267
17,2.66,2,3,2,64.3,60.0,8.71,8.65,5.58,20692.58403086643
18,0.92,4,5,3,61.8,59.0,6.21,6.25,3.85,4192.487744416903
19,0.3,5,4,8,62.2,55.0,4.3,4.32,2.68,781.8068904166685
20,1.0,3,3,3,62.0,54.0,6.43,6.47,4.0,4142.401644176226
21,0.34,3,5,5,61.1,57.0,4.51,4.54,2.76,799.9826641794717
22,1.01,3,5,2,62.4,58.0,6.37,6.41,3.99,4002.332563058844
23,0.87,5,5,5,62.0,55.0,6.1,6.13,3.79,4926.425968169997
24,1.26,4,7,2,61.9,58.0,6.88,6.81,4.24,6848.127182043292
25,0.38,4,6,5,60.2,58.0,4.66,4.71,2.82,1066.3734890071396
26,0.55,5,5,6,62.3,54.0,5.29,5.27,3.29,2267.676857866799
27,0.65,4,4,3,61.9,58.0,5.54,5.51,3.42,2049.1783546755014
28,0.41,4,7,6,62.2,58.0,4.8,4.78,2.98,1401.4688228405778
29,0.7,3,2,1,63.2,59.0,5.62,5.59,3.54,1116.4834017670246
30,1.03,3,2,5,62.9,53.0,6.45,6.5,4.07,5001.840872755437
31,0.34,5,5,6,61.3,56.0,4.52,4.56,2.78,916.8821522700484
32,0.73,5,2,7,61.7,53.0,5.8,5.84,3.59,3228.508475917865
33,0.83,5,7,2,62.1,56.0,6.0,6.04,3.74,3188.044274882738
34,0.51,3,4,3,63.0,53.0,5.1,5.13,3.22,1262.6796045924705
35,1.06,5,6,4,61.3,57.0,6.54,6.57,4.02,6752.430597436769
36,0.41,5,7,5,61.8,57.0,4.75,4.8,2.95,1311.7582799590873
37,1.03,5,5,4,60.4,56.0,6.59,6.56,3.97,6082.136209299647
38,0.32,5,7,3,61.3,55.0,4.41,4.46,2.72,643.7737250147158
39,0.3,4,1,5,62.6,58.0,4.32,4.27,2.69,416.0234932808307
40,0.32,3,7,6,60.1,58.0,4.41,4.44,2.66,855.0354596940225
41,0.33,5,4,5,61.7,56.0,4.44,4.47,2.75,746.5549432971329
42,0.25,5,4,5,62.7,54.0,4.05,4.08,2.55,442.6454273942767
43,0.3,5,5,5,61.0,56.0,4.37,4.35,2.66,663.6979024570537
44,1.26,3,5,8,60.0,60.0,7.04,7.09,4.24,11806.11236906797
45,1.14,5,1,5,61.6,56.0,6.71,6.73,4.14,5247.544982768131
46,1.51,4,3,3,62.8,60.0,7.22,7.14,4.51,9250.599046542751
47,0.51,3,6,2,62.0,57.0,5.09,5.13,3.17,1162.9090673278417
48,0.32,5,4,8,61.0,57.0,4.44,4.48,2.72,882.814510589928
49,0.94,4,6,2,60.4,59.0,6.37,6.34,3.84,3779.8089523583635
50,0.51,4,6,4,60.6,58.0,5.15,5.12,3.11,1667.1786262587102
51,1.12,5,3,2,61.4,56.0,6.69,6.66,4.1,4432.302860772117
52,1.33,4,4,2,60.3,58.0,7.19,7.16,4.33,6493.380222124529
53,0.32,4,3,4,61.7,59.0,4.35,4.4,2.7,572.1549234887375
54,0.7,5,6,4,62.6,57.0,5.63,5.68,3.54,3091.583522143341
55,1.35,5,3,7,61.9,57.0,7.06,7.09,4.38,11494.084853997016
56,0.23,2,5,4,63.8,57.0,3.93,3.84,2.48,331.2266248953277
57,0.9,3,5,1,61.9,59.0,6.16,6.18,3.82,2309.66338980879
58,1.03,5,7,3,61.3,56.0,6.48,6.54,3.99,5815.155090551976
59,1.02,2,6,2,62.8,64.0,6.36,6.32,3.98,4125.220547904239
60,0.55,5,3,6,61.7,57.0,5.28,5.26,3.25,1968.5227194096833
61,0.34,5,6,8,61.7,56.0,4.46,4.48,2.76,1107.1526034657088
62,0.71,4,7,6,60.0,58.0,5.92,5.84,3.53,3940.595391377621
63,0.55,2,4,3,63.6,61.0,5.22,5.16,3.3,1400.1710239974125
64,0.54,5,4,4,61.5,55.0,5.24,5.27,3.23,1695.20883922678
65,1.23,5,3,8,61.3,57.0,6.87,6.92,4.23,10284.718285968373
66,0.27,4,6,7,60.6,58.0,4.18,4.2,2.54,658.5859803527221
67,0.53,5,7,4,61.4,56.0,5.18,5.21,3.19,1910.947072646748
68,1.25,5,4,2,61.1,55.0,6.95,6.99,4.26,5902.299762802975
69,0.34,5,6,6,62.3,57.0,4.48,4.44,2.78,964.3677246453086
70,0.36,4,2,4,62.7,59.0,4.54,4.58,2.86,638.3381033368281
71,0.34,5,4,3,61.2,57.0,4.56,4.53,2.78,618.0077585187929
72,1.12,2,6,3,64.3,57.0,6.56,6.5,4.2,5976.328858134484
73,0.3,5,3,5,61.6,55.0,4.27,4.3,2.64,576.1422291182564
74,0.36,5,7,3,62.0,56.0,4.61,4.55,2.84,803.5976036182823
75,0.71,5,5,7,61.1,54.0,5.78,5.84,3.55,3949.0891921245234
76,0.32,4,4,4,62.6,60.0,4.33,4.36,2.72,619.6055052849928
77,0.5,4,6,4,61.3,60.0,5.11,5.07,3.12,1606.1662691713775
78,0.51,3,6,3,63.3,59.0,5.09,5.05,3.21,1412.737332254454
79,0.58,5,1,5,61.9,58.0,5.31,5.35,3.3,1470.3618983845206
80,0.3,5,5,8,62.5,54.0,4.31,4.33,2.7,831.6461892668835
81,0.39,5,4,7,62.3,57.0,4.7,4.64,2.91,1201.6787273629673
82,0.31,5,5,4,61.8,56.0,4.37,4.33,2.69,634.262070569314
83,0.9,3,3,5,60.5,63.0,6.13,6.16,3.72,4340.9146598791485
84,0.81,4,4,2,61.7,57.0,5.99,5.94,3.68,2552.6887033972102
85,0.7,4,6,2,61.1,61.0,5.74,5.69,3.49,2169.835392814666
86,0.38,3,1,4,60.5,60.0,4.64,4.68,2.82,567.4571780057777
87,0.71,3,4,3,60.0,59.0,5.76,5.8,3.47,2354.0537851935815
88,0.71,3,7,4,63.1,58.0,5.67,5.7,3.59,3155.660593556942
89,0.9,3,3,5,62.1,59.0,6.09,6.14,3.8,4340.9146598791485
90,0.74,3,5,2,63.2,58.0,5.75,5.71,3.62,2228.324713230501
91,1.5,4,3,4,62.4,59.0,7.32,7.29,4.56,10488.219332999866
92,1.5,3,5,3,63.0,55.0,7.27,7.31,4.59,10238.157004752979
93,0.42,5,5,5,61.0,57.0,4.87,4.84,2.96,1250.510136384409
94,1.01,4,4,4,61.6,58.0,6.45,6.4,3.96,5393.993779975716
95,2.48,4,2,2,63.0,62.0,8.62,8.58,5.42,17320.58101883718
96,1.02,5,5,6,61.1,56.3,6.48,6.52,3.97,7254.2858275478975
97,0.4,5,7,4,61.3,57.0,4.77,4.75,2.92,1124.9974927655499
98,0.7,5,5,3,61.3,57.0,5.76,5.79,3.54,2560.277368117301
99,1.01,2,6,4,62.5,58.0,6.32,6.36,3.96,5647.703889575548
100,1.13,3,2,4,60.7,58.0,6.72,6.75,4.09,5350.324278425968
101,1.09,5,2,4,61.9,56.0,6.62,6.67,4.09,5249.786352061694
102,0.7,3,6,4,62.7,58.0,5.65,5.67,3.55,2944.0920117128894
103,1.0,4,5,3,60.8,59.0,6.44,6.38,3.9,4905.110952834949
104,1.52,5,3,4,61.8,54.0,7.42,7.43,4.59,10985.13609423046
105,0.41,5,4,6,62.2,56.0,4.75,4.8,2.97,1226.1626011296203
106,0.43,3,1,4,60.9,59.0,4.86,4.9,2.97,716.1535281029047
107,0.31,3,6,2,60.8,61.0,4.39,4.43,2.68,455.4993907872531
108,0.33,5,4,4,62.2,56.0,4.47,4.44,2.77,670.7326517963052
109,0.7,4,6,4,61.0,59.0,5.74,5.7,3.49,3026.267211154104
